"gam" "nu"
0.78 0.36
0.21 0.44
0.7 0.65
0.39 0.39
0.7 0.53
0.44 0.13
0.96 0.24
0.18 0.6
0.18 0.72
0.37 0.44
0.4 0.25
0.39 0.23
0.93 0.85
0.72 0.83
0.44 0.45
0.19 0.51
0.84 0.92
0.75 0.58
0.5 0.48
0.92 0.95
0.79 0.49
0.99 0.59
0.2 0.37
0.46 0.47
0.04 0.8
0.15 0.43
0.88 0.91
0.95 0.24
0.08 0.93
0.43 0.8
0.84 0.26
0.88 0.25
0.29 0.19
0.72 0.12
0.26 0.18
0.53 0.61
0.06 0.96
0.39 0.8
0.38 0.06
0.58 0.02
0.2 0.01
0.55 0.53
0.28 0.38
0.44 0.91
0.54 0.11
0.84 0.24
0.24 0.07
0.71 0.44
0.39 0.22
0.84 0.18
0.82 0.6
0.35 0.32
0.71 0.41
0.52 0.37
0.39 0.6
0.82 0.66
0.69 0.02
0.5 0.59
0.72 0.6
0.81 0.02
0.44 0.42
0.81 0.53
0.83 0.32
0.42 0.99
0.87 0.97
0.01 0.71
0.77 0.02
0.69 0.94
0.55 0.12
0.99 0.37
0.44 0.29
0.08 0.65
0.12 0.21
0.35 0.69
0.53 0.04
0.56 0.69
0.56 0.02
0.68 0.22
0.88 0.89
0.69 0.36
0.4 0.67
0.79 0.34
0.29 0.56
0.16 0.87
0.32 0.45
0.5 0.09
0.15 0.31
0.96 0.7
0.21 0.06
0.44 0.94
0.5 0.03
0.73 0.61
0.83 0.45
0.49 0.98
0.89 0.01
0.82 0.22
0.49 0.71
0.07 0.38
0.99 0.44
0.46 0.22
0.85 0.31
0.58 0.17
0.54 0.14
0.76 0.43
0.6 0.14
0.2 0.09
0.98 0.44
0.28 0.51
0.92 0.32
0.45 0.88
0.01 0.02
0.94 0.43
0.1 0.07
0.16 0.6
0.91 0.22
0.03 0.92
0.85 0.51
0.33 0.28
0.31 0.92
0.09 0.89
0.83 0.3
0.53 0.8
0.25 0.5
0.83 0.37
0.67 0.42
0.03 0.26
0.55 0.58
0.51 0.38
0.81 0.2
0.11 0.36
0.93 0.34
0.75 0.82
0.14 0.38
0.25 0.58
0.67 0.87
0.67 0.21
0.98 0.79
0.72 0.15
0.82 0.62
0.87 0.83
0.71 0.15
0.33 0.86
0.83 0.67
0.15 0.84
0.49 0.24
0.2 0.75
0.03 0.82
0.35 0.66
0.63 0.96
0.76 0.01
0.3 0.6
0.18 0.07
0.74 0.19
0.07 0.79
0.24 0.38
0.79 0.3
0.03 0.12
0.78 0.03
0.5 0.73
0.23 0.11
0.91 0.34
0.84 0.58
0.37 0.45
0.59 0.18
0.81 0.11
0.3 0.51
0.47 0.94
0.05 0.95
0.21 0.99
0.1 0.58
0.24 0.71
0.53 0.62
0.61 0.93
0.57 0.36
0.46 0.17
0.08 0.52
0.31 0.96
0.06 0.85
0.92 0.45
0.9 0.44
0.06 0.32
0.52 0.76
0.23 0.59
0.52 0.27
0.62 0.33
0.5 0.9
0.04 0.47
0.76 0.54
0.79 0.38
0.47 0.75
0.73 0.62
0.46 0.37
0.6 0.51
0.55 0.6
0.45 0.87
0.04 0.01
0.25 0.99
0.34 0.65
0.53 0.53
0.99 0.32
0.23 0.19
0.02 0.59
0.26 0.25
0.91 0.75
0.19 0.48
0.05 0.91
0.99 0.79
0.23 0.02
0.97 0.81
0.51 0.61
0.48 0.82
0.9 0.32
0.42 0.3
0.5 0.3
0.2 0.64
0.97 0.68
0.8 0.64
0.77 0.55
0.78 0.7
0.29 0.47
0.45 0.63
0.65 0.31
0.43 0.55
0.72 0.2
0.34 0.75
0.57 0.57
0.49 0.22
0.44 0.5
0.56 0.84
0.83 0.69
0.25 0.52
0.38 0.65
0.29 0.66
0.35 0.51
0.17 0.51
0.57 0.81
0.68 0.42
0.76 0.87
0.07 0.06
0.21 0.72
0.43 0.07
0.87 0.36
0.12 0.58
0.51 0.58
0.15 0.47
0.72 0.74
0.46 0.83
0.25 0.88
0.68 0.34
0.45 0.57
0.24 0.85
0.62 0.88
0.74 0.84
0.87 0.88
0.65 0.94
0.57 0.51
0.27 0.99
0.74 0.58
0.84 0.94
0.15 0.83
0.29 0.74
0.91 0.56
0.29 0.89
0.06 0.6
0.95 0.59
0.3 0.63
0.17 0.24
0.37 0.53
0.12 0.91
0.55 0.87
0.78 0.34
0.25 0.09
0.83 0.84
0.22 0.64
0.92 0.2
0.51 0.12
0.19 0.2
0.1 0.62
0.73 0.24
0.34 0.53
0.6 0.45
0.71 0.34
0.7 0.46
0.25 0.9
0.32 0.68
0.5 0.58
0.69 0.9
0.79 0.42
0.03 0.23
0.02 0.02
0.3 0.42
0.16 0.3
0.91 0.49
0.36 0.83
0.28 0.21
0.35 0.57
0.73 0.57
0.9 0.29
0.16 0.71
0.8 0.23
